entregador_id,semana_id,entregas_realizadas,horas_online,avaliacao_media,cancelamentos,ativo
49,3,36,12.9,4.35,2,True
49,4,30,10.8,5.0,1,True
49,5,31,10.5,4.16,1,True
49,6,36,12.5,3.81,2,True
49,7,0,0.0,,0,False
49,8,0,0.0,,0,False
49,9,0,0.0,,0,False
49,10,0,0.0,,0,False
49,11,0,0.0,,0,False
49,12,0,0.0,,0,False
50,1,31,9.3,4.6,2,True
50,2,33,10.6,4.36,0,True
50,3,31,10.6,4.58,0,True
50,4,31,10.5,4.19,0,True
50,5,30,8.8,4.82,3,True
50,6,32,10.2,4.74,0,True
50,7,37,13.0,4.8,0,True
50,8,38,11.9,4.44,0,True
50,9,30,9.2,4.22,0,True
50,10,37,12.1,4.67,1,True
50,11,35,13.4,4.87,1,True
50,12,26,9.2,4.78,1,True
51,1,25,8.5,4.71,2,True
51,2,33,11.5,4.51,0,True
51,3,18,6.6,4.59,0,True
51,4,32,11.0,4.34,0,True
51,5,27,8.4,5.0,2,True
51,6,31,10.4,4.59,0,True
51,7,27,8.2,4.55,2,True
51,8,22,7.4,4.66,0,True
51,9,34,11.1,4.64,1,True
51,10,28,9.7,4.68,1,True
51,11,24,7.3,4.23,1,True
51,12,0,0.0,,0,False
52,1,48,17.0,4.76,0,True
52,2,39,14.0,4.58,2,True
52,3,43,13.0,4.21,2,True
52,4,36,13.4,4.78,0,True
52,5,39,12.0,4.81,1,True
52,6,43,15.2,4.6,1,True
52,7,49,15.4,4.46,2,True
52,8,42,15.4,4.01,2,True
52,9,40,13.0,4.97,1,True
52,10,40,12.8,4.92,0,True
52,11,35,10.3,4.4,0,True
52,12,35,12.1,4.9,0,True
53,1,18,6.4,4.32,0,True
53,2,25,9.5,4.42,1,True
53,3,29,9.5,4.54,1,True
53,4,20,6.0,4.2,0,True
53,5,26,9.1,4.62,0,True
53,6,33,12.7,4.3,1,True
53,7,23,8.4,4.83,0,True
53,8,22,7.0,4.67,0,True
53,9,28,8.7,4.66,1,True
53,10,28,10.1,4.32,0,True
53,11,26,8.7,4.91,0,True
53,12,19,5.8,4.61,1,True
54,1,40,13.0,4.47,0,True
54,2,39,12.9,4.33,0,True
54,3,31,9.4,4.67,0,True
54,4,40,13.7,4.27,1,True
54,5,42,12.4,4.86,0,True
54,6,49,15.1,4.5,1,True
54,7,47,17.2,4.69,0,True
54,8,42,14.0,5.0,0,True
54,9,45,15.9,4.88,1,True
54,10,0,0.0,,0,False
54,11,0,0.0,,0,False
54,12,0,0.0,,0,False
55,1,41,13.7,4.62,0,True
55,2,34,11.1,4.76,0,True
55,3,35,10.8,4.5,1,True
55,4,37,12.9,4.85,2,True
55,5,43,13.1,4.42,0,True
55,6,38,11.7,4.24,0,True
55,7,47,14.4,4.81,2,True
55,8,47,15.3,4.51,0,True
55,9,42,14.8,4.53,1,True
55,10,40,14.4,4.71,1,True
55,11,41,13.7,5.0,0,True
55,12,42,12.8,4.3,1,True
56,1,24,7.3,4.49,1,True
56,2,28,10.5,4.89,0,True
56,3,25,8.7,4.23,1,True
56,4,0,0.0,,0,False
56,5,0,0.0,,0,False
56,6,0,0.0,,0,False
56,7,0,0.0,,0,False
56,8,0,0.0,,0,False
56,9,0,0.0,,0,False
56,10,0,0.0,,0,False
56,11,0,0.0,,0,False
56,12,0,0.0,,0,False
57,1,38,14.1,4.39,2,True
57,2,45,14.2,4.6,1,True
57,3,46,16.7,4.61,1,True
57,4,42,16.1,4.34,0,True
57,5,41,13.6,4.69,1,True
57,6,46,14.6,4.59,1,True
57,7,42,13.8,4.62,0,True
57,8,39,14.3,4.62,0,True
57,9,47,17.7,4.42,0,True
57,10,0,0.0,,0,False
57,11,0,0.0,,0,False
57,12,0,0.0,,0,False
58,1,36,12.3,4.26,0,True
58,2,34,12.6,5.0,1,True
58,3,41,13.9,4.57,0,True
58,4,38,11.7,4.53,0,True
58,5,38,12.3,4.8,0,True
58,6,44,16.2,4.42,0,True
58,7,38,12.2,4.58,0,True
58,8,45,15.1,4.67,0,True
58,9,43,13.0,4.26,0,True
58,10,45,14.4,4.45,0,True
58,11,33,12.5,4.87,2,True
58,12,43,13.2,5.0,0,True
59,1,40,12.6,4.38,2,True
59,2,0,0.0,,0,False
59,3,0,0.0,,0,False
59,4,0,0.0,,0,False
59,5,0,0.0,,0,False
59,6,0,0.0,,0,False
59,7,0,0.0,,0,False
59,8,0,0.0,,0,False
59,9,0,0.0,,0,False
59,10,0,0.0,,0,False
59,11,0,0.0,,0,False
59,12,0,0.0,,0,False
60,1,30,10.9,5.0,1,True
60,2,24,8.4,4.85,2,True
60,3,27,9.7,4.55,0,True
60,4,24,7.5,4.43,0,True
60,5,41,14.9,4.66,0,True
60,6,33,10.6,4.34,0,True
60,7,31,10.6,4.95,0,True
60,8,26,9.9,4.55,0,True
60,9,27,9.2,4.19,2,True
60,10,25,7.8,4.79,2,True
60,11,27,8.2,4.82,0,True
60,12,23,7.2,4.7,0,True
61,1,29,9.3,4.69,3,True
61,2,27,8.7,4.38,0,True
61,3,28,8.3,4.43,2,True
61,4,40,13.0,4.68,1,True
61,5,38,11.6,4.8,2,True
61,6,34,12.7,4.83,1,True
61,7,35,10.3,4.1,0,True
61,8,38,13.3,4.45,0,True
61,9,29,10.0,4.48,1,True
61,10,37,13.3,4.83,0,True
61,11,32,11.6,4.83,1,True
61,12,36,12.5,4.63,1,True
62,1,31,9.9,4.41,3,True
62,2,29,9.9,4.94,0,True
62,3,25,7.5,4.56,0,True
62,4,32,10.0,4.12,0,True
62,5,24,7.9,4.39,0,True
62,6,36,13.1,4.73,1,True
62,7,30,11.3,4.88,0,True
62,8,32,12.1,4.88,1,True
62,9,22,7.1,4.43,1,True
62,10,29,10.5,4.67,2,True
62,11,32,11.1,4.59,2,True
62,12,36,12.6,4.67,0,True
63,1,38,13.6,5.0,0,True
63,2,32,11.7,4.62,0,True
63,3,31,10.6,4.85,1,True
63,4,33,11.5,4.89,1,True
63,5,35,11.5,4.24,0,True
63,6,35,12.4,4.76,0,True
63,7,41,12.6,4.16,1,True
63,8,35,10.9,4.66,1,True
63,9,35,11.5,4.79,1,True
63,10,44,14.2,4.75,1,True
63,11,42,15.3,4.56,1,True
63,12,37,13.6,4.85,0,True
64,1,39,11.7,4.85,1,True
64,2,37,13.6,4.72,1,True
64,3,37,10.9,4.42,2,True
64,4,37,11.7,5.0,2,True
64,5,46,15.6,4.82,1,True
64,6,43,12.9,4.72,1,True
64,7,49,14.8,4.48,1,True
64,8,42,14.3,4.76,0,True
64,9,48,15.4,4.6,0,True
64,10,49,15.9,4.42,0,True
64,11,45,14.6,4.55,1,True
64,12,44,15.5,4.78,0,True
65,1,23,8.5,4.41,0,True
65,2,29,9.5,4.64,2,True
65,3,36,11.7,4.45,0,True
65,4,31,10.5,4.8,0,True
65,5,37,11.1,4.81,0,True
65,6,38,14.5,4.54,0,True
65,7,40,14.3,4.64,2,True
65,8,40,13.2,4.63,1,True
65,9,38,13.1,5.0,0,True
65,10,34,11.6,4.56,0,True
65,11,37,11.2,4.66,0,True
65,12,33,10.3,4.7,0,True
66,1,20,7.6,4.73,0,True
66,2,25,8.3,4.82,2,True
66,3,25,8.2,4.48,1,True
66,4,27,7.9,4.34,0,True
66,5,26,9.8,4.55,3,True
66,6,31,11.0,4.55,2,True
66,7,35,11.2,4.69,0,True
66,8,30,9.3,4.66,1,True
66,9,28,8.3,4.79,0,True
66,10,30,9.4,4.72,1,True
66,11,25,9.5,4.91,3,True
